Código,Descrição,Tradução,Causas,Recomendações,Consequências,Peso,Causes,Recomendações EN
174--3,Fuel Temperature Sensor:Voltage Above Normal,,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective or disconnected interconnect cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
174--4,Engine Fuel Temperature 1:Voltage Below Normal,Sensor de Temperatura de Combustível - Tensão abaixo do normal,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
175--3,Engine Oil Temperature Sensor:Voltage Above Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
175--4,Engine Oil Temperature Sensor:Voltage Below Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
177--3,Transmission Oil Temperature Sensor:Voltage Above Normal,,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective or disconnected interconnect cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
1785--3,Intake Manifold Pressure Sensor:Voltage Above Normal,Sensor de Pressão do Coletor de Admissão Tensão Acima do Normal,"Sensor defeituoso, chicote defeituoso, sensor desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective whip, disconnected sensor.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
1785--4,Intake Manifold Pressure Sensor:Voltage Below Normal,Sensor de Pressão do Coletor de Admissão Tensão Abaixo do Normal,"Sensor defeituoso, chicote defeituoso, sensor desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective whip, disconnected sensor.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
190--0,Engine Speed:High - most severe (3),,Remoção de carga brusca no motor.,Diminuição gradual de carga desse motor.,,1.0,Removal of abrupt load on the engine.,Gradual load of this engine.
190--1,Engine Speed:Low - most severe (3),,Aumento de carga brusca no motor.,Aumento gradual de carga desse motor.,,1.0,Increased abrupt engine in the engine.,Gradual increase in charge of this engine.
190--17,Engine Speed:Low - least severe (1),,Aumento de carga brusca no motor.,Aumento gradual de carga desse motor.,,1.0,Increased abrupt engine in the engine.,Gradual increase in charge of this engine.
190--8,"Engine Speed Sensor:Abnormal Frequency, Pulse Width, or Period ","Sensor de velocidade do motor: Frequência anormal, largura de pulso, ou período","
Voltagem da bateria para o ECM principal, Perda do sinal primário de pulsação ECM, Códigos de diagnóstico para as solenóides do injetor, Condição de excesso de velocidade do motor","
Estabelecer comunicação com o ECM principal. Se a comunicação com o ECM primário não puder ser estabelecida, verifique se a tensão está presente no ECM principal. Verifique se o fio que transporta o sinal de pulso do ECM principal para o ECM secundário não tem uma abertura ou se o fio não está em curto.",,1.0,"Battery voltage for main ECM, loss of ECM pulse primary signal, diagnostic codes for injector solenoids, engine speed condition","Communication with the main ECM. If communication with the primary ECM can not be established, verify that the voltage is present in the main ECM. Verify that the wire that transports the main ECM pulse signal to the secondary ECM does not have an aperture or if the wire is not short."
1923--5,Remote Throttle Position Sensor:Current Below Normal,Sensor remoto de posição do acelerador Corrente abaixo do normal,"Sensor defeituoso ou descalibrado , cabo de interligação defeituoso.","Checar calibragem do sensor, checar cabo de interligação ",,1.0,"Defective or decalibrated sensor, defective interconnection cable.","Check sensor calibration, check interconnection cable"
1923--6,Remote Throttle Position Sensor:Current Above Normal,,"Sensor defeituoso ou descalibrado , cabo de interligação defeituoso.","Checar calibragem do sensor, checar cabo de interligação ",,1.0,"Defective or decalibrated sensor, defective interconnection cable.","Check sensor calibration, check interconnection cable"
225--3,Engine Overcrank,,"Códigos de diagnóstico, Códigos de eventos, Abastecimento de combustível, Fonte de alimentação elétrica para o Módulo de Controle Eletrônico (ECM), Auxílios de partida (se aplicável), Chaves de desligamento do motor (se aplicável), Velocidade do motor/timing, Injetores unitários.","Verificar o sistema de combustível, chicote de alimentação do ECM, chaves de parada, injetores e timing do motor.",,1.0,"Diagnostic codes, event codes, fuel supply, Electrical power supply for the electronic control module (ECM), starting aid (if applicable), motor shutdown keys (if applicable), motor speed / timing, Unit injectors.","Check the fuel system, ECM power whip, parade keys, guns and motor timing."
2433--8,"Engine Exhaust Manifold Bank #2 Temperature #1:Abnormal Frequency, Pulse Width, or Period",,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
2434--8,"Engine Exhaust Manifold Bank #1 Temperature #1:Abnormal Frequency, Pulse Width, or Period",,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
2436--0,Generator Average AC Frequency:High - most severe (3),,"Inversor defeituoso, rotação do motor irregular ou retirada abrupta de carga.","Verificação de rotação do motor, checagem do controlador e inversor.",,1.0,"Defective inverter, irregular motor rotation or abrupt load withdrawal.","Motor rotation check, controller check and inverter."
2436--1,Generator Average AC Frequency:Low - most severe (3),,"Inversor defeituoso, rotação do motor irregular ou aumento abrupto de carga.","Verificação de rotação do motor, checagem do controlador e inversor.",,1.0,"Defective inverter, irregular engine rotation or abrupt charge increase.","Motor rotation check, controller check and inverter."
2436--15,Generator Average AC Frequency:High - least severe (1),,"Inversor defeituoso, rotação do motor irregular ou retirada abrupta de carga.","Verificação de rotação do motor, checagem do controlador e inversor.",,1.0,"Defective inverter, irregular motor rotation or abrupt load withdrawal.","Motor rotation check, controller check and inverter."
2436--17,Generator Average AC Frequency:Low - least severe (1),,"Inversor defeituoso, rotação do motor irregular ou aumento abrupto de carga.","Verificação de rotação do motor, checagem do controlador e inversor.",,,"Defective inverter, irregular engine rotation or abrupt charge increase.","Motor rotation check, controller check and inverter."
2440--1,Generator Average Line-Line AC RMS Voltage:Low - most severe (3),,"Inversor defeituoso, rotação do motor irregular ou aumento abrupto de carga.","Verificação de rotação do motor, checagem do controlador e inversor.",,,"Defective inverter, irregular engine rotation or abrupt charge increase.","Motor rotation check, controller check and inverter."
2440--17,Generator Average Line-Line AC RMS Voltage:Low - least severe (1),,"Inversor defeituoso, rotação do motor irregular ou aumento abrupto de carga.","Verificação de rotação do motor, checagem do controlador e inversor.",,,"Defective inverter, irregular engine rotation or abrupt charge increase.","Motor rotation check, controller check and inverter."
2448--15,Generator Average AC RMS Current:High - least severe (1),,"Inversor defeituoso, rotação do motor irregular ou retirada abrupta de carga.","Verificação de rotação do motor, checagem do controlador e inversor.",,1.0,"Defective inverter, irregular motor rotation or abrupt load withdrawal.","Motor rotation check, controller check and inverter."
246--9,Proprietary CAN Data Link:Abnormal Update Rate,,"Perda de dados, sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,,"Data loss, defective sensor, defective or disconnected interconnect cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
247--9,SAE J1939 Data Link:Abnormal Update Rate ,,Taxa de atualização anormal de algum módulo conectado à rede J1939. , Atualziação de todos os equipamentos da rede J1939 a fim de evitar conflitos de comunicação,,1.0,Abnormal update rate of some module connected to the J1939 network.,Updating all equipment of the J1939 network in order to avoid communication conflicts
2491--3,Turbocharger #1 Compressor Inlet Temperature Sensor:Voltage Above Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
2526--3,Air Inlet Temperature Sensor:Voltage Above Normal,,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective or disconnected interconnect cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
253--2,"Personality Module:Erratic, Intermittent, or Incorrect",,"Sinal errático, intermitente ou incorreto do módulo de personalidade do ECM. Este erro pode ser relacionado à calibração do ECM.",Recomendado o diagnóstico local para investigação do mesmo.,,,"Erratic, intermittent or incorrect sign of the ECM personality module. This error can be related to ECM calibration.",Recommended local diagnostic for research.
261--11,Engine Timing Offset fault,,Fiação dos sensores com polaridade errada; Sensor defeituoso; Detonação no motor.,Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação; calibração do timing do motor.,,1.0,Wiring of the sensors with wrong polarity; Defective sensor; Detonation on the engine.,Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables; Calibration of motor timing.
261--13,Engine Timing Calibration:Out of Calibration,,Fiação dos sensores com polaridade errada; Sensor defeituoso; Detonação no motor.,Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação; calibração do timing do motor.,,,Wiring of the sensors with wrong polarity; Defective sensor; Detonation on the engine.,Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables; Calibration of motor timing.
262--3,5 Volt Sensor DC Power Supply:Voltage Above Normal,,Tensão de 5V: Voltagem acima do normal. A alimentação 5vdc é fornecida pelo ECM e sua alteração pode indicar o mau funcionamento do mesmo.,Verificação do ECM e da estabilidade da tensão 5vdc para sensores; Verificação do chicote de interligação em busca de possíveis curtos na alimentação de todos os sensores 5vdc do motor.,,1.0,5V voltage: voltage above normal. The 5VDC power is supplied by ECM and its change may indicate the malfunction of it.,Verification of ECM and 5VDC voltage stability for sensors; Check the interconnection harness in search of possible possible in the power of all motor 5VDC sensors.
262--4,5 Volt Sensor DC Power Supply:Voltage Below Normal,,Tensão de 5V: Voltagem abaixo do normal. A alimentação 5vdc é fornecida pelo ECM e sua alteração pode indicar o mau funcionamento do mesmo.,Verificação do ECM e da estabilidade da tensão 5vdc para sensores; Verificação do chicote de interligação em busca de possíveis curtos na alimentação de todos os sensores 5vdc do motor.,,1.0,5V voltage: voltage below normal. The 5VDC power is supplied by ECM and its change may indicate the malfunction of it.,Verification of ECM and 5VDC voltage stability for sensors; Check the interconnection harness in search of possible possible in the power of all motor 5VDC sensors.
263--3,Digital Sensor Power Supply (8V Or 12V):Voltage Above Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
263--4,Digital Sensor Power Supply (8V Or 12V):Voltage Below Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
268--2,"Programmed Parameter Fault:Erratic, Intermittent, or Incorrect",,"Falha em programação de equipamento terceiro, como painel ou controladora.",Diagnosticar origem da falha.,,,"Third-party equipment programming failure, such as panel or controller.",Diagnose source of failure.
273--3,Turbocharger Outlet Pressure Sensor: Voltage Above Normal,Sensor de Pressão de Saída do Turbocompressor: Voltagem Acima do Normal,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
273--4,Turbocharger Outlet Pressure Sensor:Voltage Below Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
2738--3,Turbocharger #1 Compressor Inlet Pressure Sensor:Voltage Above Normal,"
Turbocompressor # 1 Sensor de Pressão de Entrada do Compressor: Voltagem Acima do Normal","Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
2739--3,Turbocharger #2 Compressor Inlet Pressure Sensor:Voltage Above Normal,"
Turbocompressor # 2 Sensor de Pressão de Entrada do Compressor: Voltagem Acima do Normal","Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
274--3,Atmospheric Pressure Sensor:Voltage Above Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
274--4,Atmospheric Pressure Sensor:Voltage Below Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
275--3,Right Turbocharger Inlet Pressure Sensor:Voltage Above Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
276--3,Left Turbocharger Inlet Pressure Sensor:Voltage Above Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
276--4,Left Turbocharger Inlet Pressure Sensor:Voltage Below Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
2773--8,"Engine Fuel Supply Flow Rate:Abnormal Frequency, Pulse Width, or Period","Sensor de suprimento de combustível: Frequência anormal, largura de pulso, ou período","Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
2774--8,"Engine Fuel Return Flow Rate:Abnormal Frequency, Pulse Width, or Period",,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective or disconnected interconnect cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
2776--3,Engine Fuel Return Temperature:Voltage Above Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
279--3,Aftercooler Coolant Temperature Sensor (Front):Voltage Above Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
28--2,"Variable Geometry Turbocharger Actuator #2:Erratic, Intermittent, or Incorrect","Atuador turbocharger de geometria variável #2: Errado, Intermitente, Incorreto",Instabilidade no sinal do atuador de geometria variável do turbocharger #2.,Monitorar o sinal do atuador de geometria variável do turbocharger recebido pelo ECM do motor através do CAT ET. Verificar a estabilidade do sinal e sua calibração,,1.0,Instability at Turbocharger # 2 variable geometry actuator signal.,Monitor the Turbocharger variable geometry actuator signal received by the engine ECM through Cat ET. Check the signal stability and its calibration
2857--9,Exhaust Temperature Module:Abnormal Update Rate,,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,,"Defective sensor, defective or disconnected interconnect cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
289--2,"Fuel Pressure Sensor - Before Fuel Filter:Erratic, Intermittent, or Incorrect","Sensor de pressão de combustível - Errado, Intermitente ou Incorreto","Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
289--3,Fuel Pressure Sensor - Before Fuel Filter:Voltage Above Normal,Sensor de pressão de combustível: Voltagem abaixo do normal,"Sensor defeituoso, chicote defeituoso, sensor desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective whip, disconnected sensor.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
289--4,Fuel Pressure Sensor - Before Fuel Filter:Voltage Below Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
29--13,Accelerator Pedal Position #2:Out of Calibration,,Falta de calibração sensor de posição do acelerador.,A calibração do sensor de posição do acelerador requer o uso do Cat ET.,,1.0,Lack of accelerator position sensor calibration.,The accelerator position sensor calibration requires the use of Cat ET.
296--9,Transmission Control:Abnormal Update Rate,"
Controle de transmissão: Taxa anormal de atualização","A comunicação com o controle de transmissão não pode ser estabelecida dentro de três segundos após o Módulo de Controle Eletrônico (ECM) ser ligado. Depois que a comunicação com o controle de transmissão for estabelecida, a comunicação será interrompida por um segundo.","Inspecione as conexões do chicote elétrico, verifique se há curto para o aterramento no link de dados, verifique se há um curto entre os fios do link de dados, verifique os resistores de terminação, verifique se há curto para o circuito da bateria nos dados Ligação",,1.0,"Communication with the transmission control can not be established within three seconds after the electronic control module (ECM) is turned on. After communication with the transmission control is established, communication will be interrupted for a second.","Inspect the connections of the electric whip, make sure there is short for grounding in the data link, verify that there is a short between the data link wires, check the termination resistors, check for short for the battery circuit in the connection data"
301--5,Ignition Transformer Primary #1:Current Below Normal,,Corrente abaixo do normal no transformador para velas de ignição,Verificar tensões e curto circuitos no circuito primário e secundário do transformador; Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,Current below normal in transformer for ignition candles,Check tensions and short circuits in the primary and secondary circuit of the transformer; Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
3052--9,Engine Sensing Module (ESM):Abnormal Update Rate,,Falha de comunicação entre o PLE e o ESM (Engine Sensing Module) do motor. ,"Verificação do ESM, chicotes e conectores de interligação entre o ESM e o PLE.",,1.0,Communication failure between MCO and ESM (Engine Sensing Module).,"Verification of ESM, whips and interconnect connectors between ESM and PLE."
320--3,Speed/Timing Sensor short to +batt,,"Sensor em curto, Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Short sensor, defective sensor, defective or disconnected interconnect cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
320--8,Engine Speed/Timing signal abnormal,,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective or disconnected interconnect cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
336--2,"Engine Control Switch : Erratic, Intermittent, or Incorrect ",,As duas entradas do ECS (Engine control Switch) estão no estado oposto ,O Módulo de Controle Eletrônico (ECM) do motor recebe três sinais que permitem ao ECM determinar o modo de operação. Os sinais de entrada em P1-21 e P1-22 informam ao ECM a posição do ECS. Os sinais de entrada em P1-21 e P1-22 devem estar no mesmo potencial ou um código de diagnóstico será gerado.,,1.0,The two ECS (Engine Control Switch) entries are in the opposite state,The Motor's electronic control module (ECM) receives three signals that allow ECM to determine the mode of operation. The input signals in P1-21 and P1-22 inform the ECS position. Input signals in P1-21 and P1-22 must be in the same potential or a diagnostic code will be generated.
337--2,"Remote Emergency Stop Switch: Erratic, Intermittent, or Incorrect ",,"O ECM do motor recebe dois sinais de entrada a partir do mesmo interruptor de parada de emergência. Esses sinais permitem o ECM determinar o status do interruptor de parada de emergência. O ECM irá desligar o motor se ambos os sinais estiverem ""em aberto"". Se durante a partida do motor, forem detectados dois sinais diferentes oriundo do interruptor, o ECM entenderá que um dos sinais está incorreto e o motor irá partir normalmente. E o alerta será emitido.",Verificar o correto funcionamento das botoeiras de parada.,,1.0,"The motor ECM receives two input signals from the same emergency stop switch. These signals allow ECM to determine the status of the emergency stop switch. The ECM will turn off the engine if both signals are ""open"". If during the start of the engine, two different signals from the switch is detected, the ECM will understand that one of the signals is incorrect and the engine will normally go. And the alert will be issued.",Check the correct operation of the stops.
338--5,Engine Pre-Lube Pump Relay:Current Below Normal,,O ECM detectou uma baixa corrente no relé da bomba de pré lubrificação.,"Verificar cabos e conectores, Checar operação e tensão do motor de pré lubrificação.",,1.0,The ECM detected a low current in the pre-lubrication pump relay.,"Check cables and connectors, check operation and pre-lubrication motor voltage."
342--8,"Secondary Engine Speed Sensor:Abnormal Frequency, Pulse Width, or Period ","Sensor secundário de velocidade do motor:  Frequência anormal, largura de pulso, ou período",Quando a velocidade do motor é maior que zero rpm e o padrão do anel de temporização está incorreto por cinco segundos.,"Estabelecer comunicação com o ECM principal. Se a comunicação com o ECM primário não puder ser estabelecida, verifique se a te nsão está presente no ECM principal. Verifique se o fio que transporta o sinal de pulso do ECM principal para o ECM secundário não tem uma abertura ou se o fio não está em curto.",,1.0,When the motor speed is larger than zero rpm and the standard of the timing ring is incorrect for five seconds.,"Communication with the main ECM. If communication with the primary ECM can not be established, verify that the thread is present in the main ECM. Verify that the wire that transports the main ECM pulse signal to the secondary ECM does not have an aperture or if the wire is not short."
3581--3,Throttle #3 Position Sensor:Voltage Above Normal,,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective or disconnected interconnect cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
3668--17,Engine Intercooler Coolant Level:Low - least severe (1),Baixo nível de liquido de arrefecimento no intercooler.,Baixo nível de liquido de arrefecimento no intercooler.,"Checar por vazamentos no sistema de arrefecimento, aftercoolers, trocadores de calor.",,1.0,Low level of cooling liquid in the intercooler.,"Check for leaks in the cooling system, aftercoolers, heat exchangers."
3671--0,Crank Attempt Count on Present Start Attempt:High - most severe (3),,"A quantidade tentativas de partida durante a ignição atual foram excedidas. Este limite é configurado ECM, definido por classificadora.",A quantidade tentativas de partida durante a ignição atual foram excedidas.,,1.0,"The amount attempts to start during the current ignition have been exceeded. This limit is configured ECM, as classifier defined.",The amount attempts to start during the current ignition have been exceeded.
38--1,Low Engine Coolant Temperature Warning,,"Nível de fluido de arrefecimento baixo, qualidade do fluido, ar no sistema de arrefecimento, válvula termostática, bomba de água de jaqueta, aftercooler.","Inspecionar o nível do líquido de arrefecimento e Verificar sua qualidade, Verificar presença de ar no sistema de arrefecimento, Verificar as aletas de refrigeração no radiador. Verificar o sistema de arrefecimento quanto a vazamentos. Verificar se o motor não está com sobrecarga.",,1.0,"Level of cooling fluid, fluid quality, air in cooling system, thermostatic valve, jacket water pump, aftercooler.","Inspect the coolant level and check your quality, check air presence in the cooling system, check the cooling fins on the radiator. Check the cooling system for leaks. Check that the engine is not overloaded."
41--3,8 Volt DC Supply:Voltage Above Normal,,Tensão de 8V: Voltagem acima do normal. A alimentação 8vdc é fornecida pelo ECM e sua alteração pode indicar o mau funcionamento do mesmo.,Verificação do ECM e da estabilidade da tensão 8vdc para sensores; Verificação do chicote de interligação em busca de possíveis curtos na alimentação de todos os sensores 8vdc do motor.,,1.0,8V voltage: voltage above normal. 8VDC feed is provided by ECM and its change may indicate the malfunction of it.,Verification of ECM and stability of the 8VDC voltage for sensors; Checking the interconnection harness in search of possible possible in the power of all 8VDC motor sensors.
41--4,8 Volt DC Supply:Voltage Below Normal,,Tensão de 8V: Voltagem abaixo do normal. A alimentação 8vdc é fornecida pelo ECM e sua alteração pode indicar o mau funcionamento do mesmo.,Verificação do ECM e da estabilidade da tensão 8vdc para sensores; Verificação do chicote de interligação em busca de possíveis curtos na alimentação de todos os sensores 8vdc do motor.,,1.0,8V voltage: voltage below normal. 8VDC feed is provided by ECM and its change may indicate the malfunction of it.,Verification of ECM and stability of the 8VDC voltage for sensors; Checking the interconnection harness in search of possible possible in the power of all 8VDC motor sensors.
444--5,Starter Motor Relay:Current Below Normal,,Curto circuito no relê de do motor de arranque.,"Verificar cabos e conectores, Checar operação e tensão.",,1.0,Short circuit on the start-up motor relay.,"Check cables and connectors, check operation and voltage."
444--6,Starter Motor Relay:Current Above Normal,,Curto circuito no relê de do motor de arranque.,"Verificar cabos e conectores, Checar operação e tensão.",,1.0,Short circuit on the start-up motor relay.,"Check cables and connectors, check operation and voltage."
460--3,Fuel Pressure Sensor - After Fuel Filter:Voltage Above Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
52--15,Engine Intercooler Temperature:High - least severe (1),,Baixo nível de liquido de arrefecimento no intercooler.,"Checar por vazamentos no sistema de arrefecimento, aftercoolers, trocadores de calor.",,1.0,Low level of cooling liquid in the intercooler.,"Check for leaks in the cooling system, aftercoolers, heat exchangers."
52--3,Engine Intercooler Temperature:Voltage Above Normal,,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective or disconnected interconnect cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
535--8,"Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period",,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective or disconnected interconnect cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
54--2,"High Fuel Temperature Derate - Erratic, Intermittent, or Incorrect","Alta temperatura de combustível reduzida - Errado, Intermitente ou Incorreto","Válvula reguladora de pressão de combustível, Nível de combustível, Linhas de combustível, Motor superaquecido.","Inspecionar a válvula reguladora de pressão de combustível de retorno. Certificar-se de que o tanque de combustível contém combustível suficiente. À medida que o nível do tanque de combustível diminui, a temperatura do combustível geralmente aumenta. Certificar-se de que o fluxo de retorno de combustível para o tanque de combustível não esteja obstruído. ",,2.0,"Fuel pressure regulator valve, fuel level, fuel lines, overheated motor.","Inspect the return fuel pressure regulator valve. Make sure the fuel tank contains enough fuel. As the level of the fuel tank decreases, the fuel temperature generally increases. Make sure that the fuel return flow to the fuel tank is not obstructed."
